,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
62,Ugg Australia,Boots,$47.61,215,43.70%,61.90%,74.90%,89.30%,92.10%,93.00%,93.00%
63,Burberry,Coat,$346.43,212,37.70%,47.60%,63.20%,87.70%,91.50%,91.50%,91.50%
64,RED Valentino,Cocktail Dress,$162.18,211,12.30%,19.90%,28.40%,67.30%,79.10%,80.10%,80.10%
65,Christian Dior,Sunglasses,$194.77,211,18.00%,31.80%,49.30%,77.30%,87.20%,87.20%,87.20%
66,Miu Miu,Heels,$187.30,211,8.10%,17.50%,31.80%,67.80%,84.80%,85.30%,85.30%
67,Salvatore Ferragamo,Sandals,$148.99,211,23.20%,35.10%,52.60%,74.40%,84.40%,84.80%,84.80%
68,Stella McCartney,Casual Dress,$235.55,208,10.10%,15.90%,23.60%,54.30%,68.80%,69.20%,69.20%
69,Burberry,Casual Dress,$262.54,208,18.30%,25.50%,39.40%,69.20%,82.20%,82.20%,82.20%
70,Louis Vuitton,Card Holder,$185.56,205,19.00%,30.20%,48.30%,85.90%,92.20%,92.20%,92.20%
71,Fendi,Sunglasses,$168.74,204,31.90%,49.00%,63.20%,83.30%,91.70%,91.70%,91.70%
72,Telfar,Satchel,$147.34,203,34.50%,50.20%,61.60%,77.80%,92.60%,92.60%,92.60%
73,Coach Factory,Leather Crossbody Bag,$76.68,202,72.30%,84.20%,90.10%,93.10%,93.10%,93.10%,93.10%
74,Stella McCartney,Jeans,$130.21,202,17.80%,29.20%,50.00%,72.80%,81.20%,81.70%,82.20%
75,Louis Vuitton,Shoulder Bag,$647.94,202,18.30%,32.70%,48.50%,81.70%,85.60%,85.60%,85.60%
76,Gucci,Shoulder Bag,$381.23,201,21.40%,33.80%,48.30%,80.60%,87.60%,87.60%,87.60%
77,Prada,Leather Wallet,$214.01,197,12.70%,25.90%,43.70%,79.20%,88.80%,88.80%,88.80%
78,Ugg,Ankle Boots,$44.54,197,62.40%,71.60%,84.80%,92.40%,93.90%,93.90%,93.90%
79,Adidas x Yeezy,Sneakers,$135.84,197,8.10%,18.30%,32.00%,59.90%,73.10%,75.60%,75.60%
80,Manolo Blahnik,Sandals,$177.47,196,19.40%,32.10%,48.50%,73.00%,81.10%,81.10%,81.10%
81,Jimmy Choo,Ankle Boots,$236.18,195,8.20%,13.30%,29.20%,67.70%,76.40%,76.40%,76.40%
82,Valentino Garavani,Heels,$289.53,192,9.90%,20.80%,34.90%,70.30%,82.30%,82.30%,82.30%
83,Kate Spade New York,Crossbody Bag,$56.00,191,56.50%,78.50%,88.00%,93.70%,96.30%,96.30%,96.30%
84,Max Mara,Blazer,$213.83,191,11.00%,16.20%,28.80%,63.90%,80.60%,81.70%,82.20%
85,Gucci,Leather Belt,$209.41,190,44.20%,62.10%,74.70%,87.40%,88.40%,88.40%,88.40%
86,Chanel,Heels,$353.30,188,18.60%,25.00%,40.40%,81.90%,87.80%,87.80%,87.80%
87,Saint Laurent,Sunglasses,$205.96,188,20.70%,31.40%,47.30%,83.00%,89.40%,89.40%,89.40%
88,Acne Studios,Jeans,$88.10,187,13.90%,18.70%,26.70%,47.10%,56.10%,58.30%,58.80%
89,Coach Factory,Leather Shoulder Bag,$83.95,186,68.80%,79.00%,87.60%,91.40%,91.90%,91.90%,91.90%
90,Stella McCartney,Dress,$57.24,186,18.80%,34.90%,56.50%,73.70%,88.70%,88.70%,88.70%
91,Yves Saint Laurent,Heels,$181.09,185,5.40%,14.10%,31.90%,67.00%,80.00%,80.00%,80.00%
92,Coach Factory,Leather Wristlet,$30.52,184,72.80%,83.20%,90.20%,94.60%,95.10%,95.10%,95.10%
93,Kate Spade New York,Shoulder Bag,$78.29,184,33.70%,52.70%,72.30%,90.20%,93.50%,93.50%,93.50%
94,Kate Spade New York,Leather Wallet,$46.26,183,30.60%,57.40%,82.50%,88.50%,90.70%,90.70%,90.70%
95,M Missoni,Casual Dress,$183.65,183,9.80%,17.50%,31.70%,75.40%,91.80%,96.70%,97.30%
96,Just Cavalli,Cocktail Dress,$164.83,183,13.70%,20.80%,43.20%,72.70%,84.20%,85.80%,85.80%
97,Gucci,Wallet,$201.78,183,18.60%,30.10%,43.20%,71.60%,83.60%,83.60%,83.60%
98,Play Comme Des Garçons,Short Sleeve T-Shirt,$62.25,182,27.50%,53.80%,79.10%,88.50%,91.80%,91.80%,91.80%
99,Stella McCartney,Cocktail Dress,$241.27,182,8.20%,12.10%,24.20%,54.90%,72.00%,72.50%,72.50%
100,Gucci,Sneakers,$274.36,177,26.60%,33.90%,46.90%,79.10%,85.30%,85.90%,85.90%
101,Salvatore Ferragamo,Leather Shoulder Bag,$249.06,175,26.30%,32.60%,48.00%,82.30%,89.10%,89.10%,89.10%
102,Kate Spade New York,Tote,$79.42,174,39.70%,60.30%,79.30%,93.70%,96.00%,96.00%,96.00%
103,RED Valentino,Casual Dress,$180.16,172,11.00%,16.30%,32.60%,65.70%,82.00%,83.10%,83.10%
104,Coach,Wristlet,$24.54,167,77.20%,88.60%,92.20%,94.60%,95.20%,95.20%,95.20%
105,Self-Portrait,Casual Dress,$215.09,166,15.10%,21.10%,34.30%,72.30%,82.50%,83.10%,83.10%
106,Ugg,Boots,$60.82,165,49.70%,60.00%,76.40%,87.30%,89.10%,89.10%,89.10%
107,Dolce & Gabbana,Cocktail Dress,$439.95,164,11.60%,23.20%,37.20%,73.80%,82.90%,82.90%,82.90%
108,Valentino Garavani,Sandals,$238.01,164,20.70%,29.30%,40.90%,75.60%,87.20%,87.20%,87.20%
